,Tenth_Tee_Late_Par_4_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Late_Par_4_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Late_Par_4_Scoring_Average_PLAYER NAME,Tenth_Tee_Late_Par_4_Scoring_Average_ROUNDS,Tenth_Tee_Late_Par_4_Scoring_Average_AVG,Tenth_Tee_Late_Par_4_Scoring_Average_TOTAL STROKES,Tenth_Tee_Late_Par_4_Scoring_Average_TOTAL HOLES
158,T151,T163,Peter Uihlein,65,4.09,732,179
159,T160,T155,Cameron Davis,54,4.1,689,168
160,T160,T163,Jim Herman,37,4.1,710,173
161,T160,T155,Stephan Jaeger,59,4.1,435,106
162,T160,T173,Zach Johnson,50,4.1,398,97
163,T160,T155,Martin Laird,60,4.1,213,52
164,T160,T155,Francesco Molinari,41,4.1,164,40
165,T160,T155,Grayson Murray,36,4.1,422,103
166,T160,T155,"Ted Potter, Jr.",56,4.1,484,118
167,T160,T155,Adam Schenk,80,4.1,602,147
168,T169,T163,Kiradech Aphibarnrat,49,4.11,218,53
169,T169,T173,Austin Cook,50,4.11,427,104
170,T169,T173,Fabián Gómez,44,4.11,349,85
171,T169,T163,Branden Grace,62,4.11,485,118
172,T169,T163,Martin Kaymer,38,4.11,296,72
173,T169,T163,Satoshi Kodaira,51,4.11,584,142
174,T169,T180,Rod Pampling,40,4.11,658,160
175,T169,T163,Pat Perez,52,4.11,263,64
176,T169,T163,J.J. Spaun,68,4.11,559,136
177,T169,T163,Kevin Streelman,63,4.11,432,105
178,T179,T173,Tyrrell Hatton,46,4.12,338,82
179,T179,T163,Ollie Schniederjans,63,4.12,803,195
180,T179,T173,Kyle Stanley,53,4.12,478,116
181,T179,T186,Nick Watney,67,4.12,437,106
182,T179,T173,Chase Wright,53,4.12,622,151
183,T184,T180,Anders Albertson,48,4.13,483,117
184,T184,T180,Matt Jones,67,4.13,533,129
185,T184,T180,D.A. Points,33,4.13,479,116
186,T184,T184,Hudson Swafford,59,4.13,934,226
187,T188,T191,Alex Cejka,41,4.14,273,66
188,T188,T203,Ben Crane,41,4.14,360,87
189,T188,T194,Scott Langley,60,4.14,348,84
190,T188,T184,Adam Svensson,51,4.14,290,70
191,T192,T186,Ryan Blaum,67,4.15,469,113
192,T192,T188,Danny Willett,47,4.15,568,137
193,T194,T188,Cameron Champ,58,4.16,395,95
194,T194,T188,Danny Lee,66,4.16,441,106
195,T196,T191,Lucas Bjerregaard,37,4.17,313,75
