,First_Tee_Late_Par_3_Scoring_Average_RANK THIS WEEK,First_Tee_Late_Par_3_Scoring_Average_RANK LAST WEEK,First_Tee_Late_Par_3_Scoring_Average_PLAYER NAME,First_Tee_Late_Par_3_Scoring_Average_ROUNDS,First_Tee_Late_Par_3_Scoring_Average_AVG,First_Tee_Late_Par_3_Scoring_Average_TOTAL STROKES,First_Tee_Late_Par_3_Scoring_Average_TOTAL HOLES
0,1,2,Wes Roach,45,2.84,128,45
1,2,3,Tiger Woods,31,2.86,126,44
2,3,4,Hudson Swafford,59,2.88,115,40
3,4,5,Andrew Putnam,57,2.89,188,65
4,T5,7,Roberto Castro,54,2.9,122,42
5,T5,6,Kevin Na,54,2.9,116,40
6,T7,T8,Zach Johnson,50,2.92,152,52
7,T7,T11,Rory McIlroy,50,2.92,304,104
8,T7,T8,Cameron Smith,55,2.92,152,52
9,T10,T11,Freddie Jacobson,37,2.93,85,29
10,T10,T8,Kelly Kraft,67,2.93,205,70
11,T12,T14,Cameron Champ,58,2.94,226,77
12,T12,T14,Marc Leishman,52,2.94,203,69
13,T12,999,Shane Lowry,30,2.94,106,36
14,T12,T22,Webb Simpson,53,2.94,265,90
15,T16,T18,Justin Harding,31,2.95,59,20
16,T16,T18,Francesco Molinari,41,2.95,162,55
17,T16,T11,Scott Piercy,70,2.95,224,76
18,T16,T18,Shawn Stefani,57,2.95,242,82
19,T16,T18,Aaron Wise,52,2.95,174,59
20,T21,T22,Anders Albertson,48,2.96,157,53
21,T21,T14,Corey Conners,62,2.96,216,73
22,T21,T22,Pat Perez,52,2.96,237,80
23,T24,T26,Abraham Ancer,69,2.97,226,76
24,T24,T26,Matt Every,38,2.97,190,64
25,T24,T22,Dylan Frittelli,55,2.97,187,63
26,T24,T26,Jason Kokrak,68,2.97,235,79
27,T24,T26,Kyle Stanley,53,2.97,107,36
28,T29,T30,Aaron Baddeley,51,2.98,167,56
29,T29,T30,Alex Cejka,41,2.98,128,43
30,T29,T30,Max Homa,61,2.98,173,58
31,T29,T30,Patton Kizzire,58,2.98,161,54
32,33,34,Brian Stuard,76,2.99,224,75
33,T34,T35,Stewart Cink,33,3.0,99,33
34,T34,T35,Bryson DeChambeau,45,3.0,228,76
35,T34,T52,Joey Garber,44,3.0,147,49
36,T34,T35,Anirban Lahiri,54,3.0,147,49
37,T34,T45,Danny Lee,66,3.0,243,81
38,T34,T35,Sebastián Muñoz,58,3.0,234,78
39,T34,T35,Rod Pampling,40,3.0,39,13
40,T34,T35,Sam Ryder,52,3.0,135,45
41,T34,T35,Jordan Spieth,57,3.0,312,104
42,T34,T14,Peter Uihlein,65,3.0,156,52
43,T34,T35,Richy Werenski,63,3.0,156,52
44,T45,T45,Ryan Blaum,67,3.01,268,89
45,T45,T45,Jason Day,45,3.01,247,82
46,T45,T45,Billy Horschel,73,3.01,310,103
47,T45,T35,Peter Malnati,64,3.01,307,102
48,T45,T45,Hideki Matsuyama,59,3.01,265,88
49,T45,T45,Vaughn Taylor,69,3.01,283,94
50,T45,T45,Gary Woodland,63,3.01,295,98
51,T52,T52,Wyndham Clark,61,3.02,184,61
52,T52,T52,Curtis Luck,51,3.02,127,42
53,T52,T52,Jon Rahm,51,3.02,299,99
54,T52,T52,Justin Rose,42,3.02,278,92
55,T52,T52,Josh Teater,47,3.02,157,52
56,T57,T59,Rickie Fowler,54,3.03,352,116
57,T57,T35,J.J. Henry,42,3.03,97,32
58,T57,T59,Martin Kaymer,38,3.03,182,60
59,T57,T77,Matt Kuchar,65,3.03,352,116
60,T61,T67,Ryan Armour,66,3.04,137,45
61,T61,T67,Joel Dahmen,78,3.04,310,102
62,T61,T67,Emiliano Grillo,65,3.04,280,92
63,T61,T67,J.B. Holmes,54,3.04,207,68
64,T61,T59,Stephan Jaeger,59,3.04,222,73
65,T61,T89,Dustin Johnson,47,3.04,289,95
66,T61,T67,J.T. Poston,76,3.04,246,81
67,T61,T59,Adam Schenk,80,3.04,316,104
68,T61,T67,Chris Stroud,54,3.04,137,45
69,T61,T67,Jhonattan Vegas,60,3.04,243,80
70,T61,T67,Nick Watney,67,3.04,225,74
71,T61,T67,Chase Wright,53,3.04,146,48
72,T73,T77,Byeong Hun An,54,3.05,183,60
73,T73,T59,Talor Gooch,37,3.05,134,44
74,T73,T77,James Hahn,34,3.05,61,20
75,T73,T77,Andrew Landry,56,3.05,119,39
76,T73,T59,Denny McCarthy,63,3.05,113,37
77,T73,T77,Phil Mickelson,41,3.05,195,64
78,T73,T77,Keith Mitchell,64,3.05,281,92
79,T73,T59,Joaquin Niemann,68,3.05,201,66
80,T73,T77,Rory Sabbatini,71,3.05,278,91
81,T73,T77,Xander Schauffele,55,3.05,247,81
82,T73,T100,Robert Streb,60,3.05,195,64
83,T73,999,Tyrone Van Aswegen,30,3.05,61,20
84,T85,T77,Jonas Blixt,66,3.06,147,48
85,T85,T77,Bud Cauley,61,3.06,196,64
86,T85,T100,Jim Furyk,53,3.06,242,79
87,T85,T89,Lucas Glover,62,3.06,327,107
88,T85,T77,Jim Knous,55,3.06,196,64
89,T85,T52,Hank Lebioda,55,3.06,150,49
90,T85,T89,Ryan Moore,54,3.06,150,49
91,T85,T89,Alex Noren,49,3.06,98,32
92,T85,T89,Louis Oosthuizen,43,3.06,202,66
93,T85,T89,Sam Saunders,53,3.06,202,66
94,T85,T115,Scott Stallings,63,3.06,153,50
95,T85,T77,Henrik Stenson,46,3.06,214,70
96,T85,T89,Michael Thompson,56,3.06,245,80
97,T85,T89,Kevin Tway,62,3.06,199,65
98,T85,T100,Harold Varner III,62,3.06,260,85
99,T100,T100,Patrick Cantlay,49,3.07,258,84
100,T100,T100,Tony Finau,61,3.07,319,104
101,T100,T100,Ian Poulter,49,3.07,264,86
102,T100,T89,José de Jesús Rodríguez,51,3.07,172,56
103,T100,T59,Brady Schnell,38,3.07,135,44
104,T100,T100,Adam Scott,41,3.07,270,88
105,T100,T115,J.J. Spaun,68,3.07,209,68
106,T107,T108,Cody Gribble,52,3.08,77,25
107,T107,T89,David Hearn,41,3.08,114,37
108,T107,T108,Jim Herman,37,3.08,37,12
109,T107,T108,Tom Hoge,70,3.08,237,77
110,T107,T108,Charles Howell III,64,3.08,280,91
111,T107,T131,Graeme McDowell,61,3.08,200,65
112,T107,T108,Patrick Reed,53,3.08,293,95
113,T107,T108,Ben Silverman,54,3.08,151,49
114,T107,T67,Nick Taylor,70,3.08,203,66
115,T107,T124,Justin Thomas,49,3.08,259,84
116,T107,T108,Martin Trainer,51,3.08,148,48
117,T118,T115,Daniel Berger,48,3.09,173,56
118,T118,T124,Keegan Bradley,65,3.09,198,64
119,T118,T115,Julián Etulain,55,3.09,164,53
120,T118,T115,Brian Gay,79,3.09,247,80
121,T118,T131,Adam Hadwin,66,3.09,173,56
122,T118,T131,Mackenzie Hughes,58,3.09,201,65
123,T118,T115,Russell Knox,65,3.09,142,46
124,T118,T115,C.T. Pan,64,3.09,204,66
125,T118,T115,Chez Reavie,67,3.09,210,68
126,T118,T89,Adam Svensson,51,3.09,210,68
127,T118,T100,D.J. Trahan,33,3.09,99,32
128,T118,T131,Bubba Watson,47,3.09,238,77
129,T130,T124,Tyler Duncan,66,3.1,186,60
130,T130,T124,Charley Hoffman,58,3.1,226,73
131,T130,T131,Sungjae Im,88,3.1,403,130
132,T130,T124,Kyoung-Hoon Lee,72,3.1,226,73
133,T130,T124,Trey Mullinax,67,3.1,161,52
134,T130,T124,Ollie Schniederjans,63,3.1,127,41
135,T136,T131,Bronson Burgoon,37,3.11,112,36
136,T136,T131,Austin Cook,50,3.11,168,54
137,T136,T131,Tommy Fleetwood,43,3.11,236,76
138,T136,T131,Tyrrell Hatton,46,3.11,137,44
139,T136,T146,Nate Lashley,44,3.11,137,44
140,T136,T131,"Ted Potter, Jr.",56,3.11,115,37
141,T136,T131,Patrick Rodgers,44,3.11,174,56
142,T143,T144,Sung Kang,67,3.12,203,65
143,T143,T146,Whee Kim,57,3.12,187,60
144,T143,T144,Michael Kim,51,3.12,128,41
145,T143,T115,Brandt Snedeker,68,3.12,293,94
146,T147,T146,Jason Dufner,56,3.13,150,48
147,T147,T146,Satoshi Kodaira,51,3.13,94,30
148,T147,T146,Brooks Koepka,49,3.13,272,87
149,T147,T154,Martin Laird,60,3.13,275,88
150,T147,T146,Luke List,52,3.13,200,64
151,T147,T146,Adam Long,52,3.13,166,53
152,T147,T154,Ryan Palmer,56,3.13,150,48
153,T147,T181,Jimmy Walker,61,3.13,150,48
154,T155,T154,Ben Crane,41,3.14,138,44
155,T155,T131,Sergio Garcia,39,3.14,179,57
156,T155,T154,Russell Henley,56,3.14,160,51
157,T155,T154,John Huh,35,3.14,116,37
