,Late_Par_4_Scoring_Average_RANK THIS WEEK,Late_Par_4_Scoring_Average_RANK LAST WEEK,Late_Par_4_Scoring_Average_PLAYER NAME,Late_Par_4_Scoring_Average_ROUNDS,Late_Par_4_Scoring_Average_AVG,Late_Par_4_Scoring_Average_TOTAL STROKES,Late_Par_4_Scoring_Average_TOTAL HOLES
171,T168,T167,Max Homa,61,4.09,1009,247
172,T168,T167,Haotong Li,32,4.09,470,115
173,T168,T167,Luke List,52,4.09,1011,247
174,T168,T152,Seth Reeves,52,4.09,1222,299
175,T168,T167,Patrick Rodgers,44,4.09,887,217
176,T168,T174,Hudson Swafford,59,4.09,1379,337
177,T168,T181,Jimmy Walker,61,4.09,1334,326
178,T179,T181,Bud Cauley,61,4.1,1177,287
179,T179,T181,Austin Cook,50,4.1,997,243
180,T179,T174,Tom Hoge,70,4.1,1497,365
181,T179,T174,Stephan Jaeger,59,4.1,1238,302
182,T179,999,Martin Piller,30,4.1,635,155
183,T179,T174,John Senden,39,4.1,840,205
184,T179,T181,Scott Stallings,63,4.1,1063,259
185,T186,T174,Daniel Berger,48,4.11,1085,264
186,T186,T174,John Chin,38,4.11,686,167
187,T186,T197,Ben Crane,41,4.11,843,205
188,T186,T181,Branden Grace,62,4.11,949,231
189,T186,T181,John Huh,35,4.11,702,171
190,T186,T190,Scott Langley,60,4.11,1135,276
191,T186,T190,Rod Pampling,40,4.11,785,191
192,T186,T181,Kyle Stanley,53,4.11,871,212
193,T186,T193,Martin Trainer,51,4.11,1156,281
194,T195,T193,Sangmoon Bae,42,4.12,816,198
195,T195,T181,Keegan Bradley,65,4.12,1140,277
196,T195,T181,Ollie Schniederjans,63,4.12,1247,303
197,T195,T201,Danny Willett,47,4.12,1055,256
198,T199,T193,Freddie Jacobson,37,4.13,661,160
199,T199,T190,Whee Kim,57,4.13,1114,270
200,T201,T197,Tyrrell Hatton,46,4.15,851,205
201,T201,T197,Satoshi Kodaira,51,4.15,888,214
202,T201,T197,D.A. Points,33,4.15,614,148
203,T201,T201,Seamus Power,58,4.15,1126,271
204,T205,T204,Alex Cejka,41,4.16,690,166
205,T205,T206,Cody Gribble,52,4.16,932,224
206,T207,T201,Lucas Bjerregaard,37,4.17,858,206
207,T207,T204,Martin Kaymer,38,4.17,980,235
208,209,T206,Michael Kim,51,4.18,1012,242
