,Sub-Par_Rounds_RANK THIS WEEK,Sub-Par_Rounds_RANK LAST WEEK,Sub-Par_Rounds_PLAYER NAME,Sub-Par_Rounds_EVENTS
245,T242,T238,Boo Weekley,5
246,T247,T255,Ricky Barnes,8
247,T247,T245,Gaganjeet Bhullar,2
248,T247,T245,K.J. Choi,7
249,T247,T245,George Cunningham,2
250,T247,T245,Jason Gore,4
251,T247,T245,Tim Herron,6
252,T247,T245,Joost Luiten,4
253,T247,T245,Will MacKenzie,5
254,T247,T245,Dylan Meyer,3
255,T256,T335,Paul Barjon,2
256,T256,T255,Alexander Björk,3
257,T256,T255,Chris Couch,2
258,T256,T255,Brett Drewitt,1
259,T256,T255,Paul Dunne,1
260,T256,T255,Armando Favela,1
261,T256,T255,Zack Fischer,2
262,T256,T255,Seungsu Han,1
263,T256,T255,Nick Hardy,3
264,T256,T255,Shugo Imahira,4
265,T256,T255,Chip McDaniel,3
266,T256,T255,Davis Riley,1
267,T256,T255,Zack Sucher,3
268,T256,T255,Kristoffer Ventura,3
269,T256,T255,Norman Xiong,3
270,T271,T270,Shintaro Ban,2
271,T271,T270,Charlie Beljan,2
272,T271,T270,Wesley Bryan,5
273,T271,T270,Rafael Campos,2
274,T271,T270,Fred Couples,3
275,T271,T270,Brian Davis,5
276,T271,T270,Brendon de Jonge,4
277,T271,T270,Martin Flores,1
278,T271,T270,Oscar Fraustro,1
279,T271,T270,Ben Griffin,2
280,T271,T270,Trevor Immelman,4
281,T271,T270,Yuki Inamori,2
282,T271,T270,Alex Kang,2
283,T271,T270,Sihwan Kim,2
284,T271,T270,Tae Hee Lee,2
285,T271,T270,Ben Leong,1
286,T271,T270,Dong Seop Maeng,1
287,T271,T270,Tyler McCumber,1
288,T271,T270,Jake McLeod,1
289,T271,T270,Maverick McNealy,2
290,T271,T270,John Merrick,3
291,T271,,Collin Morikawa,1
292,T271,T270,Alvaro Ortiz,4
293,T271,T270,Chad Ramey,1
294,T271,T270,Jonathan Randolph,1
295,T271,T270,Doc Redman,1
296,T271,T270,John Rollins,3
297,T271,T270,Braden Thornberry,2
298,T271,T270,Austen Truslow,2
299,T271,T299,Mike Weir,4
300,T271,T270,Y.E. Yang,2
301,T302,T299,Dawson Armstrong,1
302,T302,T299,Garrett Barber,1
303,T302,T335,Zach Bauchou,2
304,T302,T299,Rich Beem,1
305,T302,T299,Zac Blair,1
306,T302,T299,Hayden Buckley,1
307,T302,T299,George Coetzee,2
308,T302,T299,Thomas Detry,1
309,T302,T299,Kevin Dougherty,2
310,T302,T299,Ken Duke,1
311,T302,T299,Derek Ernst,2
312,T302,T299,Broc Everett,2
313,T302,T299,Ryan Fox,4
314,T302,T299,Lee Hodges,1
315,T302,T299,Sam Horsfield,3
316,T302,T299,Rikuya Hoshino,1
317,T302,T299,Jazz Janewattananond,1
318,T302,,Richard Jung,1
319,T302,,Jake Knapp,1
320,T302,T299,Alexander Levy,1
321,T302,T299,Michael Lorenzo-Vera,1
322,T302,T299,Dru Love,5
