,Front_9_Round_3_Scoring_Average_RANK THIS WEEK,Front_9_Round_3_Scoring_Average_RANK LAST WEEK,Front_9_Round_3_Scoring_Average_PLAYER NAME,Front_9_Round_3_Scoring_Average_AVG,Front_9_Round_3_Scoring_Average_TOTAL STROKES,Front_9_Round_3_Scoring_Average_TOTAL ROUNDS
0,1,1,Matt Every,33.0,198,6
1,T2,T2,Aaron Baddeley,33.82,372,11
2,T2,T2,Marc Leishman,33.82,372,11
3,4,4,Troy Merritt,33.88,271,8
4,5,5,Lucas Glover,33.92,441,13
5,T6,16,Jonathan Byrd,34.0,306,9
6,T6,999,Shane Lowry,34.0,170,5
7,T6,T6,Denny McCarthy,34.0,374,11
8,9,T8,Shawn Stefani,34.11,307,9
9,10,10,Nick Watney,34.15,444,13
10,11,T27,Justin Thomas,34.18,376,11
11,12,T6,Rod Pampling,34.2,171,5
12,13,T12,Adam Scott,34.22,308,9
13,14,T14,C.T. Pan,34.23,445,13
14,15,24,Peter Uihlein,34.25,411,12
15,16,T17,Charley Hoffman,34.27,377,11
16,T17,T14,Adam Hadwin,34.29,480,14
17,T17,20,Hideki Matsuyama,34.29,480,14
18,T19,T21,Patrick Cantlay,34.3,343,10
19,T19,T12,Roberto Castro,34.3,343,10
20,T19,T21,Ollie Schniederjans,34.3,343,10
21,22,23,Tony Finau,34.31,446,13
22,T23,T25,Louis Oosthuizen,34.38,275,8
23,T23,T25,Brendan Steele,34.38,275,8
24,T25,T27,John Huh,34.4,172,5
25,T25,T27,Freddie Jacobson,34.4,172,5
26,T25,T27,Luke List,34.4,344,10
27,T25,T27,Jon Rahm,34.4,344,10
28,T25,T27,Hudson Swafford,34.4,344,10
29,T30,T17,Scott Brown,34.42,413,12
30,T30,T17,Ryan Palmer,34.42,413,12
31,32,34,Nate Lashley,34.44,310,9
32,33,35,Andrew Putnam,34.45,379,11
33,34,36,Charles Howell III,34.46,448,13
34,T35,T37,Sergio Garcia,34.5,207,6
35,T35,T37,Matt Jones,34.5,483,14
36,T35,T41,Matt Kuchar,34.5,483,14
37,38,40,Scott Piercy,34.53,518,15
38,T39,T41,Sam Burns,34.54,449,13
39,T39,45,Danny Lee,34.54,449,13
40,T41,43,Corey Conners,34.55,380,11
41,T41,T27,Dustin Johnson,34.55,380,11
42,T41,T68,Rory McIlroy,34.55,380,11
43,44,44,Kiradech Aphibarnrat,34.56,311,9
44,45,49,Webb Simpson,34.58,415,12
45,46,46,Aaron Wise,34.6,346,10
46,T47,T47,Austin Cook,34.63,277,8
47,T47,T47,Chris Stroud,34.63,277,8
48,49,T37,Harold Varner III,34.64,381,11
49,T50,T68,Sangmoon Bae,34.67,208,6
50,T50,T50,Xander Schauffele,34.67,416,12
51,T50,T62,Henrik Stenson,34.67,312,9
52,T50,T50,Kevin Streelman,34.67,416,12
53,T50,T50,Matt Wallace,34.67,208,6
54,T50,T50,Tiger Woods,34.67,208,6
55,T56,57,Paul Casey,34.7,347,10
56,T56,T50,Cameron Tringale,34.7,347,10
57,T58,T58,Emiliano Grillo,34.73,521,15
58,T58,T58,Bill Haas,34.73,382,11
