,First_Tee_Late_Round_1_Scoring_Average_RANK THIS WEEK,First_Tee_Late_Round_1_Scoring_Average_RANK LAST WEEK,First_Tee_Late_Round_1_Scoring_Average_PLAYER NAME,First_Tee_Late_Round_1_Scoring_Average_AVG,First_Tee_Late_Round_1_Scoring_Average_TOTAL STROKES,First_Tee_Late_Round_1_Scoring_Average_TOTAL ROUNDS
0,1,1,Adam Hadwin,66.5,133,2
1,2,3,Sam Burns,67.5,135,2
2,3,4,Phil Mickelson,67.83,407,6
3,T4,T5,Sergio Garcia,68.0,136,2
4,T4,T5,James Hahn,68.0,136,2
5,T4,T5,Si Woo Kim,68.0,340,5
6,T4,T5,Russell Knox,68.0,68,1
7,T8,T9,Dustin Johnson,68.2,341,5
8,T8,T9,Chez Reavie,68.2,341,5
9,T10,12,Sepp Straka,68.25,273,4
10,T10,11,Josh Teater,68.25,273,4
11,12,T14,Ryan Palmer,68.33,205,3
12,13,13,Vaughn Taylor,68.4,342,5
13,T14,T14,Abraham Ancer,68.5,274,4
14,T14,T14,Julián Etulain,68.5,137,2
15,T14,T14,Jim Herman,68.5,137,2
16,T14,T14,Pat Perez,68.5,411,6
17,18,19,Wes Roach,68.6,343,5
18,T19,20,Roberto Castro,68.67,206,3
19,T19,2,Scott Piercy,68.67,206,3
20,T21,T41,Graeme McDowell,68.8,344,5
21,T21,22,Rory Sabbatini,68.8,344,5
22,23,T38,Danny Lee,68.83,413,6
23,T24,T23,Jonas Blixt,69.0,69,1
24,T24,T31,Jim Knous,69.0,276,4
25,T24,T23,Matt Kuchar,69.0,414,6
26,T24,T23,Grayson Murray,69.0,69,1
27,T24,21,Justin Thomas,69.0,345,5
28,T24,T23,Chase Wright,69.0,138,2
29,30,29,Hideki Matsuyama,69.14,484,7
30,31,30,Charles Howell III,69.29,485,7
31,T32,T31,Patrick Cantlay,69.33,208,3
32,T32,T31,Harris English,69.33,208,3
33,T32,T31,Kevin Na,69.33,208,3
34,T32,T23,Bubba Watson,69.33,416,6
35,T36,T35,Haotong Li,69.5,139,2
36,T36,T72,Joaquin Niemann,69.5,278,4
37,T36,T35,Patrick Rodgers,69.5,278,4
38,T36,T35,Jhonattan Vegas,69.5,278,4
39,40,T38,Hudson Swafford,69.6,348,5
40,T41,T23,Nate Lashley,69.67,209,3
41,T41,40,Sam Ryder,69.67,209,3
42,T43,T91,Talor Gooch,69.75,279,4
43,T43,T41,Kramer Hickok,69.75,279,4
44,T43,T41,Luke List,69.75,279,4
45,T46,44,Adam Long,69.8,349,5
46,T46,T86,Peter Malnati,69.8,349,5
47,48,T66,Harold Varner III,69.83,419,6
48,T49,T91,Joey Garber,70.0,210,3
49,T49,T45,Lucas Glover,70.0,560,8
