,Approaches__100_yards-Rgh_RTP_RANK THIS WEEK,Approaches__100_yards-Rgh_RTP_RANK LAST WEEK,Approaches__100_yards-Rgh_RTP_PLAYER NAME,Approaches__100_yards-Rgh_RTP_ROUNDS,Approaches__100_yards-Rgh_RTP_AVG RTP
0,1,1,Chez Reavie,56,-.273
1,2,2,Bubba Watson,71,-.245
2,3,3,Brendan Steele,88,-.160
3,4,4,Louis Oosthuizen,68,-.158
4,5,5,Henrik Stenson,63,-.154
5,6,6,Jason Day,75,-.140
6,7,7,Eric Axley,57,-.125
7,8,8,Russell Knox,96,-.100
8,9,9,Cameron Percy,72,-.083
9,10,10,Bill Haas,89,-.077
10,11,11,Sean O'Hair,86,-.071
11,12,12,Daniel Berger,97,-.059
12,13,13,D.A. Points,72,-.045
13,14,14,Ken Duke,93,-.040
14,15,15,Tim Wilkinson,73,-.037
15,16,16,Brooks Koepka,84,-.029
16,17,17,Jason Kokrak,88,-.027
17,T18,T18,Jonathan Byrd,69,E
18,T18,T18,Kevin Chappell,86,E
19,T18,T18,Ben Crane,62,E
20,T18,T18,Jason Dufner,76,E
21,T18,T18,Chris Kirk,76,E
22,T18,T18,Scott Langley,94,E
23,T18,T18,Tyrone Van Aswegen,58,E
24,T18,T18,Boo Weekley,79,E
25,26,26,William McGirt,103,+.025
26,T27,T27,Martin Flores,95,+.029
27,T27,T27,Dustin Johnson,75,+.029
28,29,29,Luke Guthrie,84,+.034
29,30,30,Andres Romero,69,+.036
30,31,31,Sangmoon Bae,98,+.038
31,32,32,Charlie Beljan,76,+.043
32,33,33,Danny Lee,120,+.045
33,34,34,Aaron Baddeley,76,+.059
34,35,35,Scott Pinckney,88,+.061
35,T36,T36,Kyle Reifers,96,+.065
36,T36,T36,Nick Taylor,91,+.065
37,38,38,Greg Chalmers,58,+.067
38,T39,T39,J.J. Henry,94,+.077
39,T39,T39,Gary Woodland,81,+.077
40,41,41,Rickie Fowler,76,+.080
41,42,42,Jerry Kelly,79,+.083
42,T43,T43,Zach Johnson,90,+.087
43,T43,T43,Ryan Moore,81,+.087
44,T45,T45,Francesco Molinari,56,+.091
45,T45,T45,Jimmy Walker,89,+.091
46,47,47,Robert Streb,110,+.093
47,T48,T48,Brendon de Jonge,106,+.097
48,T48,T48,Jhonattan Vegas,90,+.097
49,T50,T50,Robert Garrigus,70,+.100
50,T50,T50,John Merrick,78,+.100
51,52,52,Luke Donald,71,+.105
52,53,53,Scott Brown,97,+.108
53,54,54,Greg Owen,58,+.111
54,55,55,David Hearn,97,+.114
55,56,56,Ryan Palmer,80,+.115
56,57,57,Chad Collins,79,+.120
57,T58,T58,Marc Leishman,74,+.125
58,T58,T58,David Toms,62,+.125
59,60,60,Morgan Hoffmann,85,+.128
60,T61,T61,Tony Finau,106,+.130
61,T61,T61,Seung-Yul Noh,65,+.130
62,T63,T63,John Senden,80,+.133
63,T63,T63,Byron Smith,59,+.133
64,T63,T63,Jordan Spieth,91,+.133
65,66,66,George McNeill,93,+.136
66,67,67,Patrick Reed,103,+.138
67,68,68,Charl Schwartzel,67,+.143
68,69,69,Matt Kuchar,97,+.150
69,70,70,Brendon Todd,96,+.152
70,71,71,Kevin Streelman,95,+.156
71,T72,T72,Adam Hadwin,95,+.160
72,T72,T72,Hudson Swafford,97,+.160
73,T74,T74,Russell Henley,87,+.161
74,T74,T74,Daniel Summerhays,101,+.161
75,76,76,Chesson Hadley,101,+.167
76,77,77,Brian Davis,86,+.171
77,78,78,John Peterson,84,+.174
78,T79,T79,Davis Love III,51,+.176
79,T79,T79,Carlos Ortiz,100,+.176
80,T81,T81,Tom Hoge,83,+.179
81,T81,T81,David Lingmerth,90,+.179
82,T81,T81,Hideki Matsuyama,95,+.179
83,T81,T81,Jeff Overton,94,+.179
84,T81,T81,Michael Putnam,87,+.179
85,T81,T81,Brandt Snedeker,98,+.179
86,T87,T87,Bryce Molder,91,+.182
87,T87,T87,Camilo Villegas,83,+.182
88,T89,T89,Zac Blair,108,+.185
89,T89,T89,Vijay Singh,78,+.185
90,91,91,Max Homa,78,+.188
91,92,92,Phil Mickelson,70,+.189
92,T93,T93,Keegan Bradley,87,+.190
93,T93,T93,Lee Westwood,56,+.190
94,T95,T95,Chad Campbell,97,+.200
95,T95,T95,Sung Joon Park,79,+.200
96,T95,T95,Willy Wilcox,58,+.200
97,T98,T98,Billy Hurley III,83,+.207
98,T98,T98,Patrick Rodgers,57,+.207
99,T100,T100,Steven Bowditch,103,+.208
100,T100,T100,Webb Simpson,81,+.208
101,T102,T102,Jim Herman,88,+.211
102,T102,T102,Charley Hoffman,97,+.211
103,T102,T102,Nick Watney,91,+.211
104,105,105,Jamie Donaldson,50,+.214
105,106,106,Whee Kim,71,+.217
106,107,107,Jonathan Randolph,72,+.222
107,108,108,Mark Hubbard,79,+.227
108,T109,T109,Bill Lunde,50,+.231
109,T109,T109,Hunter Mahan,88,+.231
110,T109,T109,Rory Sabbatini,81,+.231
111,112,112,James Hahn,94,+.233
112,T113,T113,Carl Pettersson,106,+.234
113,T113,T113,Justin Thomas,106,+.234
114,T115,T115,Ernie Els,57,+.238
115,T115,T115,Oscar Fraustro,58,+.238
116,T115,T115,Jason Gore,76,+.238
117,T118,T118,Matt Jones,89,+.240
118,T118,T118,Spencer Levin,99,+.240
119,T118,T118,Kevin Na,98,+.240
120,T121,T121,Paul Casey,87,+.250
121,T121,T121,Brice Garnett,81,+.250
122,123,123,Blayne Barber,76,+.257
123,124,124,Retief Goosen,81,+.261
124,125,125,Derek Ernst,75,+.263
125,126,126,Martin Laird,77,+.265
126,T127,T127,Bo Van Pelt,81,+.267
127,T127,T127,Steve Wheatcroft,87,+.267
128,129,129,Erik Compton,86,+.269
129,T130,T130,Stewart Cink,77,+.273
130,T130,T130,Derek Fathauer,81,+.273
131,132,132,Cameron Tringale,96,+.276
132,133,133,Ian Poulter,68,+.278
133,134,134,Matt Every,73,+.280
134,T135,T135,Roberto Castro,54,+.286
135,T135,T135,J.B. Holmes,89,+.286
136,T135,T135,Ryo Ishikawa,90,+.286
137,T135,T135,Geoff Ogilvy,50,+.286
138,139,139,Billy Horschel,99,+.290
139,140,140,Brian Harman,90,+.293
140,141,141,Scott Stallings,60,+.294
141,142,142,Jim Renner,68,+.296
142,143,143,Johnson Wagner,68,+.300
143,T144,T144,Ángel Cabrera,53,+.308
144,T144,T144,K.J. Choi,66,+.308
145,T144,T144,Jim Furyk,71,+.308
146,147,147,Ben Martin,93,+.310
147,T148,T148,Alex Cejka,94,+.313
148,T148,T148,Colt Knost,90,+.313
149,150,150,Scott Piercy,90,+.314
150,151,151,Mark Wilson,89,+.321
151,T152,T152,Graham DeLaet,65,+.333
152,T152,T152,Gonzalo Fernandez-Castaño,81,+.333
153,T152,T152,Sergio Garcia,59,+.333
154,T152,T152,Pat Perez,96,+.333
155,156,156,Andres Gonzales,90,+.343
156,157,157,Ricky Barnes,82,+.350
157,158,158,Harris English,105,+.353
158,159,159,Charles Howell III,105,+.357
159,160,160,Chris Stroud,84,+.360
160,161,161,Adam Scott,51,+.368
161,T162,T162,Jonas Blixt,78,+.375
162,T162,T162,John Huh,102,+.375
163,164,164,Michael Thompson,83,+.379
164,165,165,Justin Leonard,61,+.385
165,166,166,Kevin Kisner,104,+.410
166,T167,T167,Alex Prugh,84,+.417
167,T167,T167,Roger Sloan,56,+.417
168,169,169,Shawn Stefani,94,+.432
169,T170,T170,Brian Stuard,97,+.440
170,T170,T170,Andrew Svoboda,80,+.440
171,172,172,Troy Merritt,91,+.444
172,173,173,Fabián Gómez,83,+.455
173,T174,T174,Jon Curran,83,+.458
174,T174,T174,Padraig Harrington,60,+.458
175,T174,T174,Andrew Putnam,68,+.458
176,177,177,Jason Bohn,95,+.464
177,178,178,Heath Slocum,57,+.467
178,T179,T179,Justin Rose,69,+.471
179,T179,T179,Sam Saunders,83,+.471
180,181,181,Nicholas Thompson,90,+.483
181,182,182,Robert Allenby,63,+.583
182,183,183,Lucas Glover,79,+.611
183,184,184,Steven Alker,62,+.636
