,SG_Tee-to-Green_RANK THIS WEEK,SG_Tee-to-Green_RANK LAST WEEK,SG_Tee-to-Green_PLAYER NAME,SG_Tee-to-Green_ROUNDS,SG_Tee-to-Green_AVERAGE,SG_Tee-to-Green_SG:OTT,SG_Tee-to-Green_SG:APR,SG_Tee-to-Green_SG:ARG,SG_Tee-to-Green_MEASURED ROUNDS
0,1,1,Dustin Johnson,77,1.8619999999999999,1.071,0.67,0.121,59
1,2,2,Jordan Spieth,85,1.646,0.321,0.8959999999999999,0.429,68
2,3,3,Hideki Matsuyama,83,1.6130000000000002,0.508,0.758,0.34600000000000003,59
3,4,4,Jon Rahm,90,1.5219999999999998,0.9490000000000001,0.515,0.057,66
4,5,5,Justin Thomas,86,1.479,0.452,0.738,0.289,65
5,6,6,Francesco Molinari,75,1.453,0.483,0.8420000000000001,0.128,59
6,7,7,Paul Casey,94,1.41,0.349,0.9390000000000001,0.122,71
7,8,8,Rory McIlroy,51,1.382,0.965,0.322,0.095,36
8,9,9,Sergio Garcia,65,1.3559999999999999,0.795,0.37799999999999995,0.182,46
9,10,10,Justin Rose,66,1.295,0.5589999999999999,0.363,0.373,53
10,11,11,Tony Finau,106,1.28,0.826,0.39,0.065,91
11,12,12,Kyle Stanley,104,1.2590000000000001,0.659,0.562,0.038,94
12,13,13,Rickie Fowler,78,1.1340000000000001,0.37799999999999995,0.408,0.349,63
13,14,14,Luke List,102,1.117,0.6,0.44299999999999995,0.07400000000000001,86
14,15,15,Patrick Cantlay,52,1.111,0.623,0.467,0.021,46
15,16,16,Adam Scott,58,1.103,0.524,0.536,0.043,42
16,17,17,Marc Leishman,94,1.0659999999999998,0.319,0.41,0.337,73
17,18,18,Gary Woodland,94,1.04,0.431,0.5710000000000001,0.039,68
18,19,19,Ryan Palmer,61,1.03,0.5329999999999999,0.555,-0.057999999999999996,49
19,20,20,Byeong Hun An,77,0.9640000000000001,0.524,0.369,0.071,57
20,21,21,Lucas Glover,93,0.9440000000000001,0.502,0.301,0.14,86
21,22,22,Ian Poulter,72,0.9109999999999999,-0.162,0.573,0.501,55
22,23,23,Charley Hoffman,112,0.903,0.586,0.349,-0.031,93
23,24,24,Webb Simpson,102,0.893,-0.036000000000000004,0.503,0.426,84
24,25,25,Brendan Steele,89,0.888,0.387,0.41100000000000003,0.09,71
25,26,26,Bill Haas,92,0.868,-0.047,0.39899999999999997,0.516,72
26,27,27,Kevin Chappell,95,0.841,0.442,0.294,0.106,72
27,28,28,Matt Kuchar,95,0.84,0.158,0.253,0.43,77
28,29,29,Bud Cauley,92,0.8029999999999999,0.264,0.588,-0.05,82
29,30,30,Keegan Bradley,104,0.769,0.625,0.139,0.004,91
30,31,31,Daniel Berger,91,0.7609999999999999,0.282,0.57,-0.09,69
31,32,32,Jamie Lovemark,98,0.76,0.319,0.183,0.258,80
32,33,33,Stewart Cink,93,0.725,-0.019,0.7929999999999999,-0.05,81
33,34,34,Phil Mickelson,85,0.711,-0.057999999999999996,0.5529999999999999,0.21600000000000003,69
34,35,35,Robert Garrigus,78,0.7090000000000001,0.42200000000000004,0.47700000000000004,-0.19,60
35,36,36,J.B. Holmes,83,0.708,0.5329999999999999,0.039,0.13699999999999998,61
36,37,37,Louis Oosthuizen,69,0.705,0.301,0.215,0.18899999999999997,51
37,38,38,Chad Campbell,97,0.691,0.040999999999999995,0.506,0.14400000000000002,85
38,39,39,Kevin Kisner,105,0.6559999999999999,0.257,0.33399999999999996,0.065,77
39,40,40,Jason Dufner,89,0.654,0.268,0.519,-0.133,72
40,41,41,Boo Weekley,75,0.63,0.634,0.425,-0.429,61
41,42,42,Brooks Koepka,88,0.623,0.546,0.057999999999999996,0.019,67
42,43,43,Jason Day,71,0.58,0.311,-0.004,0.273,55
43,44,44,Martin Laird,83,0.5760000000000001,0.235,0.139,0.203,72
44,45,45,Shane Lowry,52,0.536,0.5820000000000001,0.231,-0.27699999999999997,38
45,46,46,Emiliano Grillo,90,0.532,0.368,0.281,-0.11599999999999999,66
46,47,47,Branden Grace,70,0.518,0.18,0.17300000000000001,0.165,47
47,48,48,Pat Perez,93,0.515,-0.147,0.222,0.44,73
48,49,49,Kevin Na,86,0.513,-0.406,0.631,0.28800000000000003,66
49,50,50,Harold Varner III,101,0.511,0.262,0.33,-0.081,86
50,T51,T51,Russell Henley,99,0.506,0.31,0.196,0.0,86
51,T51,T51,Brandt Snedeker,53,0.506,-0.311,0.503,0.314,42
52,T51,T51,Jhonattan Vegas,95,0.506,0.39399999999999996,0.172,-0.06,71
53,54,54,Charl Schwartzel,63,0.504,-0.023,0.39899999999999997,0.127,48
54,55,55,Jim Herman,77,0.495,0.42200000000000004,0.14300000000000002,-0.07,66
55,56,56,Rory Sabbatini,71,0.48200000000000004,0.308,0.146,0.027999999999999997,53
56,57,57,Xander Schauffele,96,0.479,0.5539999999999999,0.011000000000000001,-0.086,74
57,58,58,Graham DeLaet,82,0.47700000000000004,0.486,0.42700000000000005,-0.436,71
58,59,59,Jason Kokrak,95,0.45799999999999996,0.607,0.077,-0.226,83
59,60,60,Kevin Streelman,90,0.45,0.292,0.19699999999999998,-0.038,78
60,61,61,Chez Reavie,98,0.423,0.121,0.375,-0.073,83
61,62,62,Cameron Smith,86,0.418,-0.13,0.149,0.39899999999999997,71
62,63,63,Ollie Schniederjans,92,0.402,0.125,0.309,-0.032,81
63,64,64,Patrick Reed,107,0.39899999999999997,0.19899999999999998,-0.049,0.25,84
64,65,65,Bryson DeChambeau,91,0.38299999999999995,0.42,-0.02,-0.016,73
65,66,66,Seamus Power,86,0.364,-0.067,0.20199999999999999,0.22899999999999998,68
66,67,67,Nick Taylor,97,0.342,0.168,0.053,0.121,83
67,68,68,Scott Stallings,81,0.33899999999999997,0.049,0.375,-0.084,68
68,69,69,Sung Kang,104,0.325,0.255,0.251,-0.182,82
69,70,70,Charles Howell III,86,0.32,0.016,0.223,0.081,68
70,T71,T71,Ryan Moore,82,0.319,-0.006,0.498,-0.17300000000000001,65
71,T71,T71,Hudson Swafford,94,0.319,0.45399999999999996,0.20199999999999999,-0.337,76
72,73,73,Nick Watney,75,0.284,-0.063,0.585,-0.23800000000000002,64
73,74,74,Bubba Watson,71,0.272,0.647,-0.175,-0.201,53
74,75,75,Sean O'Hair,84,0.26899999999999996,0.252,0.11800000000000001,-0.10099999999999999,70
75,76,76,J.J. Henry,92,0.258,0.20800000000000002,0.05,0.0,75
76,77,77,Scott Piercy,70,0.251,0.19,0.311,-0.25,49
77,78,78,James Hahn,96,0.223,0.177,0.016,0.03,81
78,79,79,Zach Johnson,81,0.215,-0.005,-0.006999999999999999,0.226,68
79,80,80,Ben Martin,86,0.20800000000000002,0.138,0.297,-0.22699999999999998,70
80,81,81,Brandon Hagy,85,0.184,0.45899999999999996,-0.39299999999999996,0.11800000000000001,69
81,82,82,Kevin Tway,96,0.172,0.28800000000000003,-0.168,0.053,74
82,83,83,Russell Knox,75,0.165,0.102,0.18100000000000002,-0.11900000000000001,54
83,84,84,Anirban Lahiri,72,0.149,0.23399999999999999,-0.14300000000000002,0.059000000000000004,59
84,85,85,J.T. Poston,95,0.147,0.156,0.053,-0.062,73
85,T86,T86,Brian Harman,104,0.146,0.015,-0.198,0.32899999999999996,86
86,T86,T86,Grayson Murray,94,0.146,0.353,-0.032,-0.17600000000000002,85
87,88,88,Adam Hadwin,98,0.14300000000000002,0.003,0.183,-0.044000000000000004,79
88,89,89,Chris Stroud,67,0.139,-0.094,0.17300000000000001,0.06,48
89,90,90,Jimmy Walker,68,0.138,-0.258,0.518,-0.12300000000000001,50
90,91,91,Ryan Armour,63,0.136,0.02,0.121,-0.005,49
91,92,92,Cameron Percy,71,0.12300000000000001,-0.019,0.266,-0.12300000000000001,55
92,93,93,Matt Jones,64,0.10800000000000001,0.073,-0.46799999999999997,0.503,51
93,94,94,Tyrone Van Aswegen,105,0.10300000000000001,-0.067,0.084,0.085,80
94,95,95,Danny Lee,93,0.078,0.037000000000000005,0.304,-0.263,76
95,96,96,Robert Streb,98,0.075,-0.159,-0.07200000000000001,0.305,84
96,97,97,D.A. Points,68,0.071,-0.436,0.42100000000000004,0.087,58
97,98,98,Trey Mullinax,88,0.063,0.42700000000000005,-0.195,-0.16899999999999998,70
98,99,99,Retief Goosen,52,0.035,-0.001,0.009000000000000001,0.027000000000000003,41
99,100,100,Michael Kim,94,0.017,-0.247,0.158,0.106,84
