,SG_Off-the-Tee_RANK THIS WEEK,SG_Off-the-Tee_RANK LAST WEEK,SG_Off-the-Tee_PLAYER NAME,SG_Off-the-Tee_ROUNDS,SG_Off-the-Tee_AVERAGE,SG_Off-the-Tee_TOTAL SG:OTT,SG_Off-the-Tee_MEASURED ROUNDS
0,1,1,Dustin Johnson,77,1.071,63.181000000000004,59
1,2,2,Rory McIlroy,51,0.965,34.731,36
2,3,3,Jon Rahm,90,0.9490000000000001,62.665,66
3,4,4,Tony Finau,106,0.826,75.127,91
4,5,5,Sergio Garcia,65,0.795,36.589,46
5,6,6,Rick Lamb,54,0.6859999999999999,26.07,38
6,7,7,Kyle Stanley,104,0.659,61.979,94
7,8,8,Bubba Watson,71,0.647,34.296,53
8,9,9,Boo Weekley,75,0.634,38.650999999999996,61
9,10,10,Keegan Bradley,104,0.625,56.88399999999999,91
10,11,11,Patrick Cantlay,52,0.623,28.675,46
11,12,12,Jason Kokrak,95,0.607,50.342,83
12,13,13,Luke List,102,0.6,51.628,86
13,14,14,Charley Hoffman,112,0.586,54.498000000000005,93
14,15,15,Shane Lowry,52,0.5820000000000001,22.129,38
15,16,16,Justin Rose,66,0.5589999999999999,29.643,53
16,17,17,Xander Schauffele,96,0.5539999999999999,41.004,74
17,18,18,Brooks Koepka,88,0.546,36.588,67
18,T19,T19,J.B. Holmes,83,0.5329999999999999,32.515,61
19,T19,T19,Ryan Palmer,61,0.5329999999999999,26.121,49
20,T21,T21,Byeong Hun An,77,0.524,29.877,57
21,T21,T21,Adam Scott,58,0.524,22.004,42
22,23,23,Hideki Matsuyama,83,0.508,29.955,59
23,24,24,Lucas Glover,93,0.502,43.208999999999996,86
24,25,25,Graham DeLaet,82,0.486,34.531,71
25,26,26,Francesco Molinari,75,0.483,28.488000000000003,59
26,27,27,Brandon Hagy,85,0.45899999999999996,31.68,69
27,28,28,Hudson Swafford,94,0.45399999999999996,34.478,76
28,29,29,Justin Thomas,86,0.452,29.389,65
29,30,30,Kevin Chappell,95,0.442,31.789,72
30,31,31,Gary Woodland,94,0.431,29.302,68
31,32,32,Trey Mullinax,88,0.42700000000000005,29.89,70
32,T33,T33,Robert Garrigus,78,0.42200000000000004,25.328000000000003,60
33,T33,T33,Jim Herman,77,0.42200000000000004,27.866999999999997,66
34,35,35,Bryson DeChambeau,91,0.42,30.627,73
35,36,36,Jhonattan Vegas,95,0.39399999999999996,27.994,71
36,37,37,Brendan Steele,89,0.387,27.469,71
37,38,38,Rickie Fowler,78,0.37799999999999995,23.803,63
38,39,39,Hunter Mahan,73,0.376,22.171999999999997,59
39,40,40,Emiliano Grillo,90,0.368,24.271,66
40,41,41,Grayson Murray,94,0.353,30.031999999999996,85
41,42,42,Paul Casey,94,0.349,24.765,71
42,43,43,Sam Saunders,76,0.348,21.215999999999998,61
43,44,44,Jordan Spieth,85,0.321,21.82,68
44,T45,T45,Marc Leishman,94,0.319,23.308000000000003,73
45,T45,T45,Jamie Lovemark,98,0.319,25.506,80
46,47,47,J.J. Spaun,92,0.316,22.776999999999997,72
47,48,48,Jason Day,71,0.311,17.113,55
48,49,49,Russell Henley,99,0.31,26.625,86
49,50,50,Rory Sabbatini,71,0.308,16.308,53
50,51,51,Louis Oosthuizen,69,0.301,15.331,51
51,52,52,Tag Ridings,67,0.295,14.728,50
52,53,53,Kevin Streelman,90,0.292,22.768,78
53,54,54,Kevin Tway,96,0.28800000000000003,21.279,74
54,55,55,Daniel Berger,91,0.282,19.428,69
55,56,56,Jason Dufner,89,0.268,19.281,72
56,57,57,Bud Cauley,92,0.264,21.680999999999997,82
57,58,58,Harold Varner III,101,0.262,22.518,86
58,59,59,Steve Wheatcroft,51,0.259,10.347000000000001,40
59,T60,T60,Kevin Kisner,105,0.257,19.785,77
60,T60,T60,William McGirt,89,0.257,18.506,72
61,62,62,Sung Kang,104,0.255,20.949,82
62,63,63,Sean O'Hair,84,0.252,17.612000000000002,70
63,64,64,Martin Laird,83,0.235,16.91,72
64,65,65,Anirban Lahiri,72,0.23399999999999999,13.793,59
65,66,66,Billy Horschel,88,0.22399999999999998,17.949,80
66,67,67,J.J. Henry,92,0.20800000000000002,15.582,75
67,68,68,Richy Werenski,81,0.203,12.408,61
68,69,69,Patrick Reed,107,0.19899999999999998,16.682000000000002,84
69,70,70,Scott Piercy,70,0.19,9.317,49
70,71,71,Branden Grace,70,0.18,8.443999999999999,47
71,72,72,James Hahn,96,0.177,14.314,81
72,73,73,Nick Taylor,97,0.168,13.937999999999999,83
