,Sand_Save_Percentage_RANK THIS WEEK,Sand_Save_Percentage_RANK LAST WEEK,Sand_Save_Percentage_PLAYER NAME,Sand_Save_Percentage_ROUNDS,Sand_Save_Percentage_%,Sand_Save_Percentage_# SAVES,Sand_Save_Percentage_# BUNKERS,Sand_Save_Percentage_TOTAL O/U PAR
0,1,1,Kevin Na,98,63.19,91,144,37.0
1,T2,T2,Sung Joon Park,79,63.08,82,130,35.0
2,T2,T2,Willy Wilcox,58,63.08,41,65,13.0
3,4,4,David Toms,62,63.04,58,92,20.0
4,5,5,Chad Collins,79,62.81,76,121,18.0
5,6,6,Brendon Todd,96,61.9,91,147,42.0
6,7,7,Danny Lee,120,61.54,104,169,47.0
7,8,8,Matt Kuchar,97,61.49,91,148,35.0
8,9,9,Luke Donald,71,61.17,63,103,31.0
9,10,10,Jason Day,75,61.11,66,108,11.0
10,11,11,Louis Oosthuizen,68,60.82,59,97,7.0
11,12,12,Justin Rose,69,60.75,65,107,23.0
12,13,13,Chris Kirk,76,60.47,78,129,35.0
13,14,14,Heath Slocum,57,60.44,55,91,20.0
14,15,15,Zac Blair,108,60.39,93,154,36.0
15,16,16,Padraig Harrington,60,59.79,58,97,27.0
16,17,17,Jonathan Byrd,69,59.6,59,99,19.0
17,18,18,Steven Bowditch,103,59.39,98,165,39.0
18,19,19,Webb Simpson,81,59.2,74,125,21.0
19,20,20,Aaron Baddeley,76,59.13,68,115,37.0
20,T21,T21,Brandt Snedeker,98,59.04,98,166,39.0
21,T21,T21,Lee Westwood,56,59.04,49,83,24.0
22,23,23,Jamie Donaldson,50,58.97,46,78,26.0
23,24,24,Jordan Spieth,91,58.14,75,129,23.0
24,25,25,Scott Langley,94,57.94,73,126,42.0
25,26,26,K.J. Choi,66,57.29,55,96,20.0
26,27,27,Jon Curran,83,57.14,72,126,43.0
27,28,28,Bill Lunde,50,56.9,33,58,11.0
28,T29,T29,Jonas Blixt,78,56.64,64,113,36.0
29,T29,T29,Sam Saunders,83,56.64,81,143,40.0
30,31,31,Michael Putnam,87,56.56,69,122,30.0
31,32,32,Zach Johnson,90,56.25,81,144,46.0
32,33,33,Ryan Moore,81,55.86,62,111,44.0
33,34,34,Rickie Fowler,76,55.83,67,120,38.0
34,35,35,Brian Harman,90,55.8,77,138,45.0
35,36,36,Kyle Reifers,96,55.63,89,160,41.0
36,37,37,James Hahn,94,55.47,71,128,48.0
37,38,38,Rory Sabbatini,81,55.45,61,110,41.0
38,39,39,Colt Knost,90,55.34,57,103,33.0
39,40,40,Carlos Ortiz,100,55.19,85,154,31.0
40,41,41,Roberto Castro,54,54.88,45,82,19.0
41,42,42,Chris Stroud,84,54.84,68,124,31.0
42,43,43,Mark Wilson,89,54.63,59,108,32.0
43,44,44,Scott Brown,97,54.2,71,131,44.0
44,45,45,Hunter Mahan,88,54.19,84,155,44.0
45,46,46,Brian Davis,86,54.14,85,157,60.0
46,47,47,Matt Jones,89,54.04,87,161,37.0
47,48,48,Chad Campbell,97,53.91,62,115,27.0
48,49,49,Tyrone Van Aswegen,58,53.85,35,65,20.0
49,50,50,Mark Hubbard,79,53.78,64,119,39.0
50,T51,T51,Brooks Koepka,84,53.68,73,136,31.0
51,T51,T51,George McNeill,93,53.68,73,136,37.0
52,53,53,Eric Axley,57,53.54,53,99,48.0
53,54,54,D.A. Points,72,53.49,46,86,33.0
54,55,55,Cameron Tringale,96,53.47,77,144,44.0
55,T56,T56,William McGirt,103,53.42,78,146,42.0
56,T56,T56,Jimmy Walker,89,53.42,86,161,57.0
57,58,58,Daniel Berger,97,53.38,71,133,27.0
58,59,59,Phil Mickelson,70,53.29,81,152,48.0
59,60,60,Stewart Cink,77,53.26,49,92,43.0
60,61,61,David Lingmerth,90,53.24,74,139,53.0
61,62,62,Pat Perez,96,52.86,74,140,40.0
62,63,63,Tim Wilkinson,73,52.71,68,129,42.0
63,64,64,Ben Crane,62,52.63,50,95,44.0
64,65,65,Ian Poulter,68,52.54,62,118,43.0
65,66,66,Robert Streb,110,52.53,83,158,42.0
66,67,67,Bill Haas,89,52.5,63,120,38.0
67,68,68,Jonathan Randolph,72,52.29,57,109,27.0
68,69,69,Matt Every,73,52.27,69,132,50.0
69,70,70,Patrick Reed,103,52.24,70,134,49.0
70,71,71,Bryce Molder,91,52.03,64,123,52.0
71,72,72,Sangmoon Bae,98,52.0,91,175,66.0
72,T73,T73,Martin Laird,77,51.82,57,110,36.0
73,T73,T73,Andrew Putnam,68,51.82,57,110,38.0
74,T75,T75,Sean O'Hair,86,51.77,73,141,43.0
75,T75,T75,Steve Wheatcroft,87,51.77,73,141,49.0
76,77,77,Ernie Els,57,51.76,44,85,25.0
77,T78,T78,Jim Herman,88,51.75,59,114,27.0
78,T78,T78,Brendan Steele,88,51.75,59,114,30.0
79,80,80,John Huh,102,51.63,95,184,56.0
80,81,81,Steven Alker,62,51.61,48,93,25.0
81,82,82,Seung-Yul Noh,65,51.55,50,97,30.0
82,83,83,John Peterson,84,51.26,61,119,33.0
83,84,84,Vijay Singh,78,51.16,66,129,45.0
84,85,85,Charl Schwartzel,67,50.98,52,102,36.0
85,86,86,Adam Hadwin,95,50.96,80,157,47.0
86,87,87,Luke Guthrie,84,50.85,60,118,44.0
87,88,88,Derek Fathauer,81,50.78,65,128,38.0
88,89,89,Erik Compton,86,50.77,66,130,49.0
89,90,90,Brian Stuard,97,50.7,72,142,53.0
90,91,91,Greg Chalmers,58,50.63,40,79,30.0
91,92,92,Graham DeLaet,65,50.54,47,93,35.0
92,93,93,Jason Gore,76,50.51,50,99,30.0
93,94,94,Nick Watney,91,50.42,60,119,33.0
94,95,95,Martin Flores,95,50.36,69,137,40.0
95,T96,T96,Charley Hoffman,97,50.3,85,169,52.0
96,T96,T96,Carl Pettersson,106,50.3,84,167,75.0
97,T98,T98,Kevin Kisner,104,50.0,71,142,51.0
98,T98,T98,Adam Scott,51,50.0,38,76,31.0
99,T98,T98,John Senden,80,50.0,68,136,40.0
100,T98,T98,Nick Taylor,91,50.0,72,144,53.0
101,102,102,Justin Thomas,106,49.64,69,139,48.0
102,103,103,Ben Martin,93,49.59,60,121,61.0
103,104,104,Brice Garnett,81,49.58,59,119,37.0
104,105,105,Marc Leishman,74,49.57,57,115,36.0
105,106,106,Chesson Hadley,101,49.44,89,180,66.0
106,107,107,Henrik Stenson,63,49.43,43,87,22.0
107,108,108,Ryo Ishikawa,90,49.31,71,144,40.0
108,109,109,Scott Pinckney,88,49.17,59,120,33.0
109,110,110,Ryan Palmer,80,49.15,58,118,51.0
110,111,111,Lucas Glover,79,49.11,55,112,44.0
111,112,112,Michael Thompson,83,48.92,68,139,50.0
112,113,113,Cameron Percy,72,48.86,43,88,34.0
113,T114,T114,Ken Duke,93,48.82,62,127,49.0
114,T114,T114,Hideki Matsuyama,95,48.82,62,127,36.0
115,116,116,Morgan Hoffmann,85,48.67,73,150,55.0
116,T117,T117,J.B. Holmes,89,48.65,72,148,51.0
117,T117,T117,Jerry Kelly,79,48.65,54,111,35.0
118,119,119,Francesco Molinari,56,48.61,35,72,28.0
119,120,120,Scott Stallings,60,48.39,45,93,35.0
120,121,121,Justin Leonard,61,48.15,39,81,43.0
121,122,122,Jeff Overton,94,48.05,74,154,63.0
122,123,123,Jason Kokrak,88,48.0,72,150,40.0
123,124,124,Billy Hurley III,83,47.93,58,121,43.0
124,125,125,Harris English,105,47.89,68,142,47.0
125,126,126,Kevin Streelman,95,47.1,65,138,41.0
126,T127,T127,Blayne Barber,76,47.06,48,102,40.0
127,T127,T127,Billy Horschel,99,47.06,64,136,34.0
128,129,129,Ricky Barnes,82,46.92,61,130,54.0
129,130,130,Bubba Watson,71,46.88,45,96,33.0
130,131,131,Andres Gonzales,90,46.85,52,111,45.0
131,132,132,Greg Owen,58,46.75,36,77,26.0
