,Top_10_Finishes_RANK THIS WEEK,Top_10_Finishes_RANK LAST WEEK,Top_10_Finishes_PLAYER NAME,Top_10_Finishes_EVENTS,Top_10_Finishes_TOP 10,Top_10_Finishes_1ST,Top_10_Finishes_2ND,Top_10_Finishes_3RD
141,T110,T109,Patton Kizzire,18,1,,,
142,T110,T109,Jim Knous,17,1,,,
143,T110,T109,Anirban Lahiri,17,1,,,
144,T110,T109,Scott Langley,20,1,,,
145,T110,T109,Nate Lashley,13,1,,,
146,T110,T109,Hank Lebioda,16,1,,,
147,T110,T109,Haotong Li,9,1,,,
148,T110,T109,David Lipsky,4,1,,,
149,T110,T109,Davis Love III,9,1,,,
150,T110,T109,Curtis Luck,17,1,,,
151,T110,T109,Joost Luiten,4,1,,,
152,T110,T109,Peter Malnati,19,1,,,
153,T110,T109,Chip McDaniel,3,1,,,
154,T110,T109,George McNeill,6,1,,,
155,T110,T109,Dylan Meyer,3,1,,,
156,T110,T109,Joaquin Niemann,20,1,,,
157,T110,T109,Sean O'Hair,9,1,,,
158,T110,T109,Thorbjørn Olesen,8,1,,,
159,T110,T109,Eddie Pepperell,7,1,,,1.0
160,T110,T109,Patrick Reed,15,1,,,
161,T110,T109,Seth Reeves,18,1,,,
162,T110,T109,Patrick Rodgers,14,1,,1.0,
163,T110,T109,Charl Schwartzel,13,1,,,
164,T110,T109,Shubhankar Sharma,6,1,,,
165,T110,T109,Vijay Singh,6,1,,,
166,T110,T109,Roger Sloan,20,1,,1.0,
167,T110,T109,Kyle Stanley,18,1,,,
168,T110,T109,Robert Streb,21,1,,,
169,T110,T109,Hudson Swafford,20,1,,,1.0
170,T110,T109,Nick Taylor,20,1,,,
171,T110,T109,Martin Trainer,19,1,1.0,,
172,T110,T109,Cameron Tringale,15,1,,,
173,T110,T109,Austen Truslow,2,1,,,
174,T110,T109,Kevin Tway,19,1,1.0,,
175,T110,T109,Erik van Rooyen,4,1,,,
176,T110,T109,Johnson Wagner,14,1,,1.0,
177,T110,T109,Richy Werenski,20,1,,,1.0
178,T110,,Danny Willett,15,1,,,
179,T110,T109,Aaron Wise,16,1,,,
